dtc_list,timestamp
"{'code': 91, 'date': '2023-06-28', 'time': '19:08:51', 'index': 0, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 1, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 2, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 3, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 4, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 5, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 6, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 7, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 8, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 9, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 10, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 11, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 12, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 13, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 14, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 15, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 16, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 17, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 18, 'occurence': 12}",2023-06-28 13:06:11.004
"{'code': 0, 'date': '0-01-01', 'time': '19:08:51', 'index': 19, 'occurence': 12}",2023-06-28 13:06:11.004
