time,AmbientTemperature,Ignition
2023-05-24 04:04:15.511000+00:00,34.0,
2023-05-24 04:04:15.511000+00:00,34.0,1.0
2023-05-24 04:04:25.591000+00:00,35.2,1.0
2023-05-24 04:19:08.207000+00:00,36.0,1.0
2023-05-24 04:19:11.087000+00:00,35.2,1.0
2023-05-24 04:19:18.287000+00:00,36.0,1.0
2023-05-24 04:21:55.257000+00:00,35.2,1.0
2023-05-24 04:21:59.577000+00:00,36.0,1.0
2023-05-24 04:22:06.777000+00:00,35.2,1.0
2023-05-24 04:25:54.311000+00:00,36.0,1.0
2023-05-24 04:26:00.071000+00:00,35.2,1.0
2023-05-24 04:26:56.234000+00:00,36.0,1.0
2023-05-24 04:41:39.007000+00:00,37.2,1.0
2023-05-24 04:41:51.966000+00:00,36.0,1.0
2023-05-24 04:41:54.846000+00:00,37.2,1.0
2023-05-24 04:50:50.557000+00:00,38.0,1.0
2023-05-24 04:53:37.606000+00:00,37.2,1.0
2023-05-24 04:58:09.782000+00:00,38.0,1.0
2023-05-24 05:05:13.166000+00:00,37.2,1.0
2023-05-24 05:05:18.926000+00:00,38.0,1.0
2023-05-24 05:05:26.127000+00:00,37.2,1.0
2023-05-24 05:08:59.258000+00:00,38.0,1.0
2023-05-24 05:18:05.049000+00:00,37.2,1.0
2023-05-24 05:18:12.250000+00:00,38.0,1.0
2023-05-24 05:18:16.570000+00:00,37.2,1.0
2023-05-24 05:26:21.877000+00:00,36.0,1.0
2023-05-24 05:31:44.455000+00:00,37.2,1.0
2023-05-24 05:33:07.980000+00:00,38.0,1.0
2023-05-24 05:37:18.554000+00:00,39.2,1.0
2023-05-24 05:38:20.477000+00:00,38.0,1.0
2023-05-24 05:38:24.798000+00:00,39.2,1.0
2023-05-24 05:39:03.680000+00:00,38.0,1.0
2023-05-24 05:39:16.640000+00:00,39.2,1.0
2023-05-24 05:39:25.281000+00:00,38.0,1.0
2023-05-24 05:41:00.326000+00:00,39.2,1.0
2023-05-24 05:41:44.969000+00:00,38.0,1.0
2023-05-24 05:42:39.692000+00:00,39.2,1.0
2023-05-24 05:42:46.892000+00:00,38.0,1.0
2023-05-24 05:43:07.056000+00:00,39.2,1.0
2023-05-24 05:55:01.334000+00:00,38.0,1.0
2023-05-24 05:59:43.589000+00:00,39.2,1.0
2023-05-24 06:04:17.205000+00:00,40.0,1.0
2023-05-24 06:06:12.411000+00:00,41.2,1.0
2023-05-24 06:07:12.895000+00:00,40.0,1.0
2023-05-24 06:08:45.061000+00:00,39.2,1.0
2023-05-24 06:09:16.742000+00:00,40.0,1.0
2023-05-24 06:09:39.783000+00:00,39.2,1.0
2023-05-24 06:09:44.103000+00:00,40.0,1.0
2023-05-24 06:09:51.304000+00:00,39.2,1.0
2023-05-24 06:10:01.384000+00:00,40.0,1.0
2023-05-24 06:10:18.665000+00:00,39.2,1.0
2023-05-24 06:10:22.985000+00:00,40.0,1.0
2023-05-24 06:10:28.746000+00:00,39.2,1.0
